epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,245.662,1.32715,1.63799,0.22643,0.91221,0.95071,0.46162,0.46417,0.46402,0.26894,0.4973,0.475,0.48204,0.30643,1.2179,1.36686,0.16374,0.84185,0.93501,0.0007129,0.0007129,0.0007129
60,249.677,1.29615,1.61573,0.22997,0.91302,0.95383,0.44966,0.47696,0.48475,0.28056,0.46813,0.48123,0.48923,0.31776,1.22351,1.34953,0.16192,0.84067,0.93428,0.00070795,0.00070795,0.00070795
61,253.934,1.28045,1.56411,0.21045,0.91549,0.96275,0.48147,0.49957,0.49095,0.27748,0.49665,0.50661,0.5026,0.31785,1.27957,1.34402,0.15223,0.8257,0.95179,0.000703,0.000703,0.000703
62,257.961,1.34351,1.6344,0.24029,0.90788,0.94119,0.51277,0.47749,0.48363,0.27387,0.57351,0.4871,0.50738,0.32371,1.25686,1.30783,0.15021,0.82139,0.93753,0.00069805,0.00069805,0.00069805
63,261.785,1.31011,1.58967,0.22463,0.87764,0.95196,0.46792,0.52556,0.49687,0.28245,0.54075,0.50128,0.50769,0.3185,1.21761,1.32534,0.1426,0.80638,0.93232,0.0006931,0.0006931,0.0006931
64,265.703,1.37905,1.62443,0.22357,0.91984,0.95112,0.45274,0.52279,0.50003,0.28703,0.60449,0.47118,0.51547,0.33322,1.22147,1.29828,0.14893,0.81344,0.9303,0.00068815,0.00068815,0.00068815
65,269.702,1.34265,1.63023,0.21428,0.91348,0.95437,0.4939,0.51749,0.51765,0.29753,0.51076,0.52766,0.53163,0.34673,1.22074,1.28585,0.14357,0.79487,0.93042,0.0006832,0.0006832,0.0006832
66,273.902,1.36402,1.65562,0.21412,0.89864,0.96336,0.44207,0.55916,0.52401,0.30201,0.45311,0.54164,0.52502,0.33965,1.19297,1.26882,0.14122,0.80256,0.92879,0.00067825,0.00067825,0.00067825
67,277.854,1.32826,1.62037,0.21566,0.91491,0.95108,0.46728,0.55247,0.52089,0.29361,0.4802,0.56074,0.5253,0.33534,1.23116,1.27697,0.13341,0.80184,0.93649,0.0006733,0.0006733,0.0006733
68,281.952,1.31783,1.54143,0.20404,0.89005,0.94237,0.46416,0.59157,0.52035,0.30418,0.4719,0.56673,0.52836,0.35415,1.20902,1.25156,0.13939,0.78928,0.92809,0.00066835,0.00066835,0.00066835
69,285.867,1.30796,1.50386,0.21112,0.8968,0.94367,0.48021,0.58934,0.52301,0.30377,0.50112,0.59359,0.54494,0.36692,1.23168,1.24561,0.13425,0.79476,0.93109,0.0006634,0.0006634,0.0006634
70,290.002,1.32633,1.46345,0.19713,0.86055,0.92421,0.46829,0.56316,0.51992,0.30002,0.46728,0.56473,0.53076,0.35216,1.2238,1.24737,0.13013,0.7921,0.93049,0.00065845,0.00065845,0.00065845
71,293.887,1.31841,1.54806,0.20424,0.86472,0.95799,0.45762,0.56477,0.51859,0.30922,0.48184,0.57559,0.53637,0.35417,1.21645,1.23683,0.12561,0.78725,0.93005,0.0006535,0.0006535,0.0006535
72,297.91,1.28903,1.48576,0.20172,0.85821,0.93975,0.43302,0.5448,0.51712,0.3043,0.45,0.54262,0.53417,0.35052,1.19415,1.23681,0.12878,0.78549,0.92188,0.00064855,0.00064855,0.00064855
73,302.648,1.30265,1.47902,0.20168,0.8405,0.94363,0.44402,0.57882,0.52476,0.31583,0.45485,0.58077,0.54393,0.35506,1.22441,1.25104,0.11979,0.77341,0.93606,0.0006436,0.0006436,0.0006436
74,306.725,1.32297,1.51919,0.19403,0.87422,0.94838,0.44639,0.60375,0.53727,0.32854,0.46398,0.60948,0.55487,0.36266,1.17968,1.21242,0.12316,0.75995,0.91968,0.00063865,0.00063865,0.00063865
75,311.212,1.31562,1.53642,0.21177,0.86657,0.93971,0.47743,0.60772,0.54326,0.32767,0.50011,0.60939,0.56324,0.36923,1.18204,1.21625,0.12375,0.75753,0.91914,0.0006337,0.0006337,0.0006337
76,315.445,1.27589,1.50565,0.20164,0.83886,0.92731,0.55451,0.57772,0.55443,0.339,0.58865,0.60191,0.58169,0.386,1.16729,1.19395,0.12093,0.75637,0.92063,0.00062875,0.00062875,0.00062875
77,320.106,1.2831,1.50613,0.20766,0.8372,0.946,0.51231,0.62199,0.54686,0.33449,0.54432,0.61134,0.568,0.37562,1.16283,1.19513,0.11936,0.75336,0.91801,0.0006238,0.0006238,0.0006238
78,327.27,1.25562,1.43926,0.1816,0.83351,0.94505,0.47903,0.61276,0.56775,0.34802,0.56094,0.57268,0.58527,0.3941,1.14393,1.17503,0.12027,0.74723,0.9165,0.00061885,0.00061885,0.00061885
79,331.945,1.23998,1.39615,0.2025,0.79754,0.93863,0.49604,0.61347,0.56679,0.34381,0.51258,0.61489,0.58744,0.40166,1.16399,1.17457,0.12246,0.74626,0.91686,0.0006139,0.0006139,0.0006139
80,336.215,1.28116,1.44121,0.19827,0.8373,0.95133,0.4821,0.59473,0.5513,0.33133,0.53157,0.59,0.56982,0.38785,1.16616,1.16818,0.11682,0.76229,0.91858,0.00060895,0.00060895,0.00060895
81,340.373,1.31582,1.46899,0.19636,0.84296,0.92783,0.47299,0.56315,0.55308,0.32544,0.54181,0.55063,0.56711,0.38613,1.20683,1.17131,0.122,0.77177,0.92009,0.000604,0.000604,0.000604
82,344.649,1.26063,1.39636,0.19082,0.82312,0.93295,0.47995,0.61116,0.56151,0.33882,0.51547,0.61931,0.58304,0.39281,1.17954,1.17733,0.10958,0.74971,0.92181,0.00059905,0.00059905,0.00059905
83,348.787,1.27026,1.40989,0.18623,0.80404,0.92801,0.5113,0.61434,0.56831,0.34922,0.53934,0.62513,0.58754,0.39947,1.14324,1.17487,0.1123,0.73321,0.91419,0.0005941,0.0005941,0.0005941
84,352.915,1.23084,1.37558,0.18087,0.80094,0.92332,0.51322,0.61028,0.56761,0.34545,0.52839,0.61433,0.58253,0.40404,1.15447,1.15535,0.1145,0.73204,0.91415,0.00058915,0.00058915,0.00058915
85,357.036,1.28315,1.43642,0.18601,0.82829,0.94571,0.52504,0.61476,0.58681,0.36156,0.54911,0.59117,0.60741,0.41562,1.16651,1.1487,0.10833,0.73612,0.92058,0.0005842,0.0005842,0.0005842
86,360.835,1.24697,1.33708,0.17743,0.81438,0.95029,0.53734,0.60588,0.59247,0.36558,0.56093,0.60678,0.60575,0.41673,1.13116,1.11763,0.11059,0.72381,0.91078,0.00057925,0.00057925,0.00057925
87,364.631,1.24708,1.34714,0.18582,0.81029,0.92801,0.5182,0.64198,0.59602,0.3692,0.559,0.63493,0.61851,0.42399,1.1587,1.12484,0.11281,0.72343,0.91578,0.0005743,0.0005743,0.0005743
88,368.748,1.26064,1.39971,0.18028,0.80218,0.93128,0.52256,0.61806,0.58804,0.36333,0.56847,0.6156,0.61071,0.40701,1.17153,1.16467,0.10192,0.72757,0.92207,0.00056935,0.00056935,0.00056935
89,373.116,1.24801,1.42073,0.17983,0.82452,0.94323,0.52625,0.6218,0.58182,0.36147,0.55509,0.61919,0.60439,0.42166,1.12564,1.10833,0.10718,0.7236,0.90822,0.0005644,0.0005644,0.0005644
90,378.458,1.24711,1.36282,0.18407,0.80052,0.92826,0.56393,0.61408,0.59814,0.3713,0.57652,0.62454,0.61335,0.42467,1.13148,1.11774,0.10348,0.70383,0.91098,0.00055945,0.00055945,0.00055945
